Unnamed: 0,Period,Location,Sector,Expenditure(million USD),GDP(%)
10000,2009,Singapore,Housing and community amenities,2219.297,1.14308
10001,2009,Singapore,Health,2534.866,1.30562
10002,2009,Singapore,Education,6021.252,3.10134
10003,2009,Singapore,Social protection,4103.087,2.11336
10004,2009,Singapore,General public services,2481.721,1.27825
10005,2009,Singapore,Defence,7823.228,4.02947
10006,2009,Singapore,Public order and safety,1626.659,0.83784
10007,2009,Singapore,"Recreation, culture and religion",684.077,0.35234
10008,2009,Slovakia,Total function,39700.055,44.5863
10009,2009,Slovakia,"Agriculture, forestry, fishing and hunting",482.274,0.54163
10010,2009,Slovakia,"Mining, manufacturing and construction",142.24,0.15975
10011,2009,Slovakia,Transport,3309.958,3.71734
10012,2009,Slovakia,Communication,11.521,0.01294
10013,2009,Slovakia,Fuel and energy,362.364,0.40696
10014,2009,Slovakia,Environment protection,800.912,0.89949
10015,2009,Slovakia,Housing and community amenities,714.17,0.80207
10016,2009,Slovakia,Health,6618.828,7.43347
10017,2009,Slovakia,Education,4001.979,4.49454
10018,2009,Slovakia,Social protection,13474.602,15.13304
10019,2009,Slovakia,General public services,5135.477,5.76755
10020,2009,Slovakia,Defence,824.567,0.92605
10021,2009,Slovakia,Public order and safety,2425.415,2.72393
10022,2009,Slovakia,"Recreation, culture and religion",961.912,1.0803
10023,2009,Slovakia,"General economic, commercial and labour affairs",234.184,0.26301
10024,2009,Slovakia,Other industries,144.89,0.16272
10025,2009,Slovakia,RandD Economic affairs,26.013,0.02921
10026,2009,Slovakia,Economic affairs n.e.c.,28.76,0.0323
10027,2009,Slovenia,Total function,24960.719,49.55963
10028,2009,Slovenia,"Agriculture, forestry, fishing and hunting",368.753,0.73216
10029,2009,Slovenia,"Mining, manufacturing and construction",9.959,0.01977
10030,2009,Slovenia,Transport,1244.188,2.47034
10031,2009,Slovenia,Communication,63.337,0.12576
10032,2009,Slovenia,Fuel and energy,24.311,0.04827
10033,2009,Slovenia,Environment protection,448.576,0.89065
10034,2009,Slovenia,Housing and community amenities,401.516,0.79721
10035,2009,Slovenia,Health,3506.092,6.96136
10036,2009,Slovenia,Education,3350.895,6.65322
10037,2009,Slovenia,Social protection,9300.256,18.4657
10038,2009,Slovenia,General public services,2862.094,5.6827
10039,2009,Slovenia,Defence,770.673,1.53018
10040,2009,Slovenia,Public order and safety,926.247,1.83907
10041,2009,Slovenia,"Recreation, culture and religion",892.577,1.77222
10042,2009,Slovenia,"General economic, commercial and labour affairs",440.821,0.87525
10043,2009,Slovenia,Other industries,114.93,0.22819
10044,2009,Slovenia,RandD Economic affairs,235.481,0.46755
10045,2009,Slovenia,Economic affairs n.e.c.,0.0,0.0
10046,2009,South Africa,Total function,122579.649,37.17305
10047,2009,South Africa,"Agriculture, forestry, fishing and hunting",2027.416,0.61483
10048,2009,South Africa,"Mining, manufacturing and construction",611.372,0.1854
10049,2009,South Africa,Transport,10571.012,3.20573
10050,2009,South Africa,Communication,297.027,0.09008
10051,2009,South Africa,Fuel and energy,9825.632,2.97968
10052,2009,South Africa,Environment protection,867.266,0.263
10053,2009,South Africa,Housing and community amenities,7610.693,2.30799
10054,2009,South Africa,Health,12905.854,3.91378
